"id","gene"
"bna03250","BnaA06g25390D"
"bna04120","BnaA06g25330D"
"bna04120","BnaC06g01420D"
"bna01200","BnaA06g39290D"
"bna01100","BnaA06g39290D"
"bna01110","BnaA06g39290D"
"bna00030","BnaA06g39290D"
"bna01240","BnaC03g74650D"
"bna00860","BnaC03g74650D"
"bna01110","BnaC03g74650D"
"bna01100","BnaC03g74650D"
"bna03050","BnaC09g04820D"
"bna03050","BnaC07g30720D"
"bna03050","BnaA06g26260D"
"bna03050","BnaA09g05250D"
"bna03010","BnaA06g26250D"
"bna03010","BnaC07g30730D"
"bna03010","BnaA09g05260D"
"bna03010","BnaC09g04830D"
"bna01100","BnaA04g17910D"
"bna00480","BnaA04g17910D"
"bna01100","BnaA04g17660D"
"bna00195","BnaA04g17660D"
"bna00945","BnaA04g17570D"
"bna00941","BnaA04g17570D"
"bna01100","BnaA04g17570D"
"bna00130","BnaA04g17570D"
"bna01110","BnaA04g17570D"
"bna00940","BnaA04g17570D"
"bna04626","BnaA04g17420D"
"bna04016","BnaA04g17420D"
"bna03040","BnaA10g04620D"
"bna03040","BnaA04g17180D"
"bna03040","BnaC05g04970D"
"bna01110","BnaC06g07140D"
"bna00565","BnaC06g07140D"
"bna04144","BnaC06g07140D"
"bna01100","BnaC06g07140D"
"bna00564","BnaC06g07140D"
"bna04814","BnaA01g28250D"
"bna01100","BnaA01g28200D"
"bna00195","BnaA01g28200D"
"bna00670","BnaC06g27510D"
"bna01100","BnaC06g27510D"
"bna00970","BnaC06g27510D"
"bna03010","BnaC09g02910D"
"bna03010","BnaA01g33350D"
"bna03010","BnaAnng10730D"
"bna03010","BnaC07g27610D"
"bna03010","BnaC01g39840D"
"bna03010","BnaC05g46950D"
"bna03010","BnaA09g51640D"
"bna03010","BnaA06g29060D"
"bna03015","BnaA06g29290D"
"bna03015","BnaC07g27410D"
"bna01232","BnaCnng73880D"
"bna01240","BnaCnng73880D"
"bna00240","BnaCnng73880D"
"bna01100","BnaCnng73880D"
"bna04016","BnaCnng73880D"
"bna00230","BnaCnng73880D"
"bna01110","BnaCnng73880D"
"bna03060","BnaC07g27450D"
"bna00630","BnaC01g36940D"
"bna01200","BnaC01g36940D"
"bna01100","BnaC01g36940D"
"bna01110","BnaC01g36940D"
"bna04146","BnaC01g36940D"
"bna04016","BnaC07g26270D"
"bna04626","BnaC07g26270D"
"bna04144","BnaC07g49230D"
"bna01110","BnaCnng59960D"
"bna00500","BnaCnng59960D"
"bna01100","BnaCnng59960D"
"bna01250","BnaCnng59960D"
"bna00520","BnaCnng59960D"
"bna00052","BnaA09g12880D"
"bna01100","BnaA09g12880D"
"bna01110","BnaA09g12880D"
"bna00500","BnaA09g12880D"
"bna03010","BnaC07g26730D"
"bna03010","BnaC02g38740D"
"bna03010","BnaA02g30400D"
"bna01212","BnaA09g12890D"
"bna00061","BnaA09g12890D"
"bna01100","BnaA09g12890D"
"bna01110","BnaC09g21910D"
"bna01100","BnaC09g21910D"
"bna00940","BnaC09g21910D"
"bna00130","BnaC09g21910D"
"bna01110","BnaA09g13270D"
"bna00564","BnaA09g13270D"
"bna04070","BnaA09g13270D"
"bna01100","BnaA09g13270D"
"bna00270","BnaA01g32940D"
"bna00270","BnaAnng36820D"
"bna00330","BnaA01g32940D"
"bna00330","BnaAnng36820D"
"bna01100","BnaA01g32940D"
"bna01100","BnaAnng36820D"
"bna01100","BnaA06g31910D"
"bna00196","BnaA06g31910D"
"bna00020","BnaA06g32140D"
"bna01200","BnaA06g32140D"
"bna00190","BnaA06g32140D"
"bna01100","BnaA06g32140D"
"bna01110","BnaA06g32140D"
"bna03050","BnaCnng39010D"
"bna01100","BnaA06g33360D"
"bna00902","BnaA06g33360D"
"bna01110","BnaA06g33360D"
"bna03010","BnaA01g28980D"
"bna00020","BnaA06g33300D"
"bna01100","BnaA06g33300D"
"bna00620","BnaA06g33300D"
"bna00010","BnaA06g33300D"
"bna01200","BnaA06g33300D"
"bna01110","BnaA06g33300D"
"bna03010","BnaA06g33230D"
"bna03018","BnaC07g48750D"
"bna03010","BnaC07g20640D"
"bna03010","BnaA06g35050D"
"bna00940","BnaA06g40660D"
"bna01110","BnaA06g40660D"
"bna01100","BnaA06g40660D"
"bna03440","BnaA06g37130D"
"bna00561","BnaA06g37030D"
"bna01100","BnaA06g37030D"
"bna01110","BnaA06g37030D"
"bna00564","BnaA06g37030D"
"bna03013","BnaA06g36990D"
"bna03050","BnaA06g36950D"
"bna03022","BnaA06g36870D"
"bna04016","BnaCnng64060D"
"bna04075","BnaCnng49440D"
"bna04075","BnaC05g07990D"
"bna01100","BnaC05g07900D"
"bna00480","BnaC05g07900D"
"bna01110","BnaAnng19090D"
"bna00860","BnaAnng19090D"
"bna01100","BnaAnng19090D"
"bna01100","BnaA10g08590D"
"bna01210","BnaA10g08590D"
"bna00220","BnaA10g08590D"
"bna01110","BnaA10g08590D"
"bna01230","BnaA10g08590D"
"bna01240","BnaC02g25050D"
"bna00760","BnaC02g25050D"
"bna01100","BnaC02g25050D"
"bna00190","BnaA06g01220D"
"bna01100","BnaA06g01220D"
"bna00905","BnaC01g37470D"
"bna01100","BnaC01g37470D"
"bna01110","BnaC01g37470D"
"bna00970","BnaAnng09530D"
"bna00790","BnaAnng09490D"
"bna01240","BnaAnng09490D"
"bna01100","BnaAnng09490D"
"bna00040","BnaA06g09240D"
"bna01100","BnaA06g09240D"
"bna00904","BnaA06g10250D"
"bna01100","BnaA06g10250D"
"bna01110","BnaA06g10250D"
"bna01100","BnaA04g05280D"
"bna00190","BnaA04g05280D"
"bna03010","BnaA05g27160D"
"bna03010","BnaA05g27190D"
"bna03010","BnaC05g41290D"
"bna03010","BnaAnng09380D"
"bna03018","BnaA06g10590D"
"bna04075","BnaA06g13980D"
"bna01110","BnaA06g13800D"
"bna00592","BnaA06g13800D"
"bna00240","BnaA01g30410D"
"bna01100","BnaA01g30410D"
"bna01240","BnaA01g30410D"
"bna01232","BnaA01g30410D"
"bna01110","BnaC09g09150D"
"bna01200","BnaC09g09150D"
"bna01100","BnaC09g09150D"
"bna00030","BnaC09g09150D"
"bna04075","BnaC09g09220D"
"bna03020","BnaA06g14210D"
"bna03040","BnaA06g14980D"
"bna03018","BnaA06g14980D"
"bna00410","BnaA04g24770D"
"bna00330","BnaA04g24770D"
"bna00770","BnaA04g24770D"
"bna01100","BnaA04g24770D"
"bna04075","BnaA01g30760D"
"bna01110","BnaC02g42920D"
"bna00940","BnaC02g42920D"
"bna01100","BnaC02g42920D"
"bna03010","BnaAnng00820D"
"bna03010","BnaC02g02880D"
"bna03010","BnaA09g06730D"
"bna04120","BnaA06g24690D"
"bna04626","BnaC06g43540D"
"bna00561","BnaCnng41640D"
"bna01110","BnaCnng41640D"
