gene_id	gene_biotype
ENSRNA049472561	pre_miRNA
ENSRNA049472610	pre_miRNA
ENSRNA049472712	antisense_RNA
ENSRNA049472759	pre_miRNA
ENSRNA049472766	pre_miRNA
ENSRNA049472783	pre_miRNA
ENSRNA049472922	pre_miRNA
ENSRNA049472932	pre_miRNA
ENSRNA049472939	pre_miRNA
ENSRNA049472963	pre_miRNA
ENSRNA049473007	pre_miRNA
ENSRNA049473026	pre_miRNA
ENSRNA049473092	pre_miRNA
ENSRNA049473113	pre_miRNA
ENSRNA049473119	pre_miRNA
ENSRNA049473124	pre_miRNA
ENSRNA049473140	pre_miRNA
ENSRNA049473262	pre_miRNA
ENSRNA049473310	pre_miRNA
ENSRNA049473344	pre_miRNA
ENSRNA049473655	pre_miRNA
ENSRNA049473688	pre_miRNA
ENSRNA049473722	pre_miRNA
ENSRNA049473727	pre_miRNA
ENSRNA049473915	pre_miRNA
ENSRNA049473940	pre_miRNA
ENSRNA049474018	pre_miRNA
ENSRNA049474037	pre_miRNA
ENSRNA049474068	pre_miRNA
ENSRNA049474081	pre_miRNA
ENSRNA049474086	pre_miRNA
ENSRNA049474154	pre_miRNA
ENSRNA049474170	pre_miRNA
ENSRNA049474245	pre_miRNA
ENSRNA049474252	pre_miRNA
ENSRNA049474263	pre_miRNA
ENSRNA049474278	pre_miRNA
ENSRNA049474282	pre_miRNA
ENSRNA049474292	pre_miRNA
ENSRNA049474428	pre_miRNA
ENSRNA049474477	pre_miRNA
ENSRNA049474606	pre_miRNA
ENSRNA049474653	pre_miRNA
ENSRNA049474664	pre_miRNA
ENSRNA049474699	pre_miRNA
ENSRNA049474722	pre_miRNA
ENSRNA049474725	pre_miRNA
ENSRNA049474822	pre_miRNA
ENSRNA049474867	pre_miRNA
ENSRNA049474901	pre_miRNA
ENSRNA049475176	pre_miRNA
ENSRNA049475257	pre_miRNA
ENSRNA049475271	pre_miRNA
ENSRNA049475301	pre_miRNA
ENSRNA049475334	pre_miRNA
ENSRNA049475339	pre_miRNA
ENSRNA049475371	pre_miRNA
ENSRNA049475735	pre_miRNA
ENSRNA049475751	pre_miRNA
ENSRNA049475772	pre_miRNA
ENSRNA049475777	pre_miRNA
ENSRNA049475836	pre_miRNA
ENSRNA049475963	pre_miRNA
ENSRNA049475980	pre_miRNA
ENSRNA049476076	pre_miRNA
ENSRNA049476205	pre_miRNA
ENSRNA049476325	pre_miRNA
ENSRNA049476331	pre_miRNA
ENSRNA049476377	pre_miRNA
ENSRNA049476381	pre_miRNA
ENSRNA049476390	pre_miRNA
ENSRNA049476459	pre_miRNA
ENSRNA049476528	pre_miRNA
ENSRNA049476628	pre_miRNA
ENSRNA049476817	pre_miRNA
ENSRNA049477154	pre_miRNA
ENSRNA049477159	pre_miRNA
ENSRNA049477187	pre_miRNA
ENSRNA049477190	pre_miRNA
ENSRNA049477262	pre_miRNA
ENSRNA049477402	pre_miRNA
ENSRNA049477518	pre_miRNA
ENSRNA049477694	pre_miRNA
ENSRNA049477701	pre_miRNA
ENSRNA049477703	pre_miRNA
ENSRNA049477705	pre_miRNA
ENSRNA049477721	pre_miRNA
ENSRNA049477799	pre_miRNA
ENSRNA049477817	pre_miRNA
ENSRNA049477828	pre_miRNA
ENSRNA049477832	pre_miRNA
ENSRNA049477843	pre_miRNA
ENSRNA049477844	pre_miRNA
ENSRNA049477892	pre_miRNA
ENSRNA049477893	pre_miRNA
ENSRNA049477897	pre_miRNA
ENSRNA049477905	pre_miRNA
ENSRNA049478148	pre_miRNA
ENSRNA049478151	pre_miRNA
ENSRNA049478211	pre_miRNA
ENSRNA049478331	pre_miRNA
ENSRNA049478363	pre_miRNA
ENSRNA049478606	pre_miRNA
ENSRNA049478947	pre_miRNA
ENSRNA049478951	pre_miRNA
ENSRNA049478960	pre_miRNA
ENSRNA049479007	pre_miRNA
ENSRNA049479011	pre_miRNA
ENSRNA049479135	pre_miRNA
ENSRNA049479372	pre_miRNA
ENSRNA049479436	pre_miRNA
