Gen,Gen ID
BnaA01g36400D,GSBRNA2T00017053001
BnaA03g58230D,GSBRNA2T00017142001
BnaA03g58240D,GSBRNA2T00017143001
BnaA01g35230D,GSBRNA2T00017225001
BnaCnng29090D,GSBRNA2T00017354001
BnaCnng29190D,GSBRNA2T00017367001
BnaCnng29330D,GSBRNA2T00017390001
BnaA04g29150D,GSBRNA2T00017494001
BnaA08g29220D,GSBRNA2T00017673001
BnaA02g20200D,GSBRNA2T00017868001
BnaA09g55810D,GSBRNA2T00018040001
BnaCnng73920D,GSBRNA2T00018056001
BnaC01g36020D,GSBRNA2T00018147001
BnaC01g35930D,GSBRNA2T00018158001
BnaC09g00030D,GSBRNA2T00018219001
BnaC09g00310D,GSBRNA2T00018253001
BnaC09g00430D,GSBRNA2T00018266001
BnaC09g00440D,GSBRNA2T00018267001
BnaC09g00580D,GSBRNA2T00018282001
BnaC09g00770D,GSBRNA2T00018306001
BnaC09g01020D,GSBRNA2T00018342001
BnaC09g01090D,GSBRNA2T00018354001
BnaA09g00610D,GSBRNA2T00018397001
BnaA09g00650D,GSBRNA2T00018407001
BnaA09g00830D,GSBRNA2T00018432001
BnaA09g01150D,GSBRNA2T00018472001
BnaA09g01280D,GSBRNA2T00018485001
BnaA09g01420D,GSBRNA2T00018500001
BnaA09g01470D,GSBRNA2T00018506001
BnaC01g39360D,GSBRNA2T00018568001
BnaC02g25850D,GSBRNA2T00018739001
BnaA06g37040D,GSBRNA2T00018868001
BnaC03g61440D,GSBRNA2T00018951001
BnaC03g22980D,GSBRNA2T00019050001
BnaC03g23300D,GSBRNA2T00019101001
BnaC03g23410D,GSBRNA2T00019118001
BnaC03g23440D,GSBRNA2T00019122001
BnaC03g23740D,GSBRNA2T00019167001
BnaC05g24140D,GSBRNA2T00019191001
BnaC08g42480D,GSBRNA2T00019279001
BnaC08g43490D,GSBRNA2T00019388001
BnaC07g50320D,GSBRNA2T00019429001
BnaCnng30110D,GSBRNA2T00019454001
BnaAnng14260D,GSBRNA2T00019485001
BnaC03g73430D,GSBRNA2T00019779001
BnaCnng30700D,GSBRNA2T00019788001
BnaA02g11310D,GSBRNA2T00019878001
BnaC07g48220D,GSBRNA2T00019890001
BnaC01g38650D,GSBRNA2T00019941001
BnaA06g40660D,GSBRNA2T00020049001
BnaA02g36110D,GSBRNA2T00020088001
BnaC09g54260D,GSBRNA2T00020129001
BnaAnng38880D,GSBRNA2T00020518001
BnaCnng31530D,GSBRNA2T00020531001
BnaC04g56940D,GSBRNA2T00020557001
BnaA09g52600D,GSBRNA2T00020569001
BnaC04g53540D,GSBRNA2T00020587001
BnaC04g53550D,GSBRNA2T00020588001
BnaC04g53560D,GSBRNA2T00020589001
BnaA08g20300D,GSBRNA2T00020791001
BnaCnng74800D,GSBRNA2T00020816001
BnaCnng32000D,GSBRNA2T00020939001
BnaA08g05630D,GSBRNA2T00021037001
BnaA06g02910D,GSBRNA2T00021124001
BnaA06g02810D,GSBRNA2T00021138001
BnaA06g02140D,GSBRNA2T00021219001
BnaA01g18320D,GSBRNA2T00021261001
BnaA01g18640D,GSBRNA2T00021302001
BnaC03g40970D,GSBRNA2T00021383001
BnaC03g40830D,GSBRNA2T00021407001
BnaC03g40750D,GSBRNA2T00021424001
BnaC03g40740D,GSBRNA2T00021427001
BnaC07g31150D,GSBRNA2T00021545001
BnaC09g18860D,GSBRNA2T00021648001
BnaA04g05950D,GSBRNA2T00021694001
BnaA08g12990D,GSBRNA2T00021806001
BnaA08g12330D,GSBRNA2T00021893001
BnaC04g48960D,GSBRNA2T00021968001
BnaC04g49400D,GSBRNA2T00022021001
BnaC04g49480D,GSBRNA2T00022029001
BnaC04g49850D,GSBRNA2T00022075001
BnaC04g49930D,GSBRNA2T00022083001
BnaC06g24570D,GSBRNA2T00022120001
BnaCnng32080D,GSBRNA2T00022260001
BnaAnng14580D,GSBRNA2T00022264001
BnaA05g33580D,GSBRNA2T00022306001
BnaA05g33500D,GSBRNA2T00022315001
BnaCnng32150D,GSBRNA2T00022374001
BnaAnng14750D,GSBRNA2T00022403001
BnaC03g77030D,GSBRNA2T00022584001
BnaC03g77040D,GSBRNA2T00022585001
BnaC02g45020D,GSBRNA2T00022603001
BnaA10g28060D,GSBRNA2T00022730001
BnaA10g28090D,GSBRNA2T00022733001
BnaA09g55530D,GSBRNA2T00022772001
BnaC09g54390D,GSBRNA2T00022792001
BnaCnng32620D,GSBRNA2T00022890001
BnaCnng75380D,GSBRNA2T00022949001
BnaCnng32750D,GSBRNA2T00023177001
BnaC04g51730D,GSBRNA2T00023417001
BnaC09g54550D,GSBRNA2T00023583001
BnaA03g57540D,GSBRNA2T00023638001
BnaC05g40220D,GSBRNA2T00023765001
BnaC05g39980D,GSBRNA2T00023807001
BnaC05g39970D,GSBRNA2T00023808001
BnaA05g17600D,GSBRNA2T00023924001
