"","Crep1","Crep2","Crep3","Trep1","Trep2","Trep3","PErep1","PErep2","VMrep1","VMrep2","VMrep3"
"GO:0000097",-0.259484561417075,-0.0904443917563643,-0.112243531969123,0.112732120374297,-0.021060602089261,-0.263841328858301,-0.0893624491848807,-0.139731993185837,0.114076076426597,0.0553237504862361,0.300703999775857
"GO:0000101",0.620131673748346,0.596122089220639,0.266967220066832,0.209924000692419,-0.0445861417018647,0.147544331104899,0.61691558896798,0.569922543402752,-0.716064958421243,-0.44662425115745,-0.683916960201509
"GO:0000103",-0.115293884351601,-0.212459990564437,0.0486213877010756,0.337665089905075,0.0750286796245625,0.0646853537638595,0.017113448594892,0.223235760805551,-0.0877753163181463,-0.205513457306639,-0.247338345432697
"GO:0000105",-0.288546465374946,-0.440988705323066,-0.294609541877486,-0.242918964942534,-0.0943559117410597,-0.436240730830538,-0.385987366827582,-0.280104393189628,0.365543914954749,0.3998311241301,0.554471784258581
"GO:0000122",0.109489087912305,-0.187279812703028,-0.118189059906147,-0.342111555580763,-0.187989660429354,-0.397811655862995,0.108777629027144,0.116805934943206,0.216745069094983,0.462966392634585,0.215298349927382
"GO:0000154",0.00329792555958949,-0.0929522321017811,0.121994887989781,-0.284395779222622,-0.23558458077062,-0.251659217669138,-0.109665952655284,-0.295035704841328,-0.00677606804792305,0.24188354577909,0.461260320379521
"GO:0000160",-0.0166302664189735,0.100191547916398,0.125760425831843,0.160514440029795,0.0707491183183479,0.170873976216046,-0.0679561725919427,-0.263330012646496,0.0261676471811767,0.0732688513590216,-0.10318637076214
"GO:0000162",-0.391008578102346,0.0386065211964355,-0.108869918325978,0.094695486411166,0.00648524835399897,0.199632157496642,-0.42064411647176,-0.333273751751643,0.322471206185955,-0.0254364274941653,0.313530056227383
"GO:0000165",0.0452498171408709,-0.105337574640519,0.0738743514744154,0.1390157097179,0.0342288710407719,0.00037571935586464,-0.261204463613159,-0.284709762583135,0.0776282674363322,0.193089831394443,-0.1968541097172
"GO:0000184",0.0382050231956261,-0.111914005063962,-0.0216243384531122,-0.614686563930145,-0.546928651868607,-0.67026857785237,0.130447053594193,-0.0481065127963348,0.514103543958663,0.582780436344832,0.431279664772175
