gene_id,VMrep1,VMrep2,VMrep3,Trep1,Trep2,Trep3
ENSRNA049437677,0,0,0,0,0,0
ENSRNA049437692,0,0,0,0,0,0
ENSRNA049437697,0,0,0,0,0,0
ENSRNA049437701,0,0,0,0,0,0
ENSRNA049437720,0,0,0,0,0,0
ENSRNA049437745,0,0,0,0,0,0
ENSRNA049437761,0,0,0,0,0,0
ENSRNA049437777,0,0,0,0,0,0
ENSRNA049437800,0,1,0,0,0,0
ENSRNA049437809,0,0,0,0,0,0
ENSRNA049437833,0,0,0,0,0,0
ENSRNA049437842,0,0,0,0,0,0
ENSRNA049437874,0,0,0,0,0,0
ENSRNA049437884,0,0,0,0,0,0
ENSRNA049437896,0,0,0,0,0,0
ENSRNA049437907,0,0,0,0,0,0
ENSRNA049437918,0,0,0,0,0,0
ENSRNA049437949,0,0,0,0,0,0
ENSRNA049437977,0,0,0,0,0,0
ENSRNA049438001,0,0,0,0,0,0
ENSRNA049438011,0,0,0,0,0,0
ENSRNA049438023,0,0,0,0,0,0
ENSRNA049438030,0,0,0,0,0,0
ENSRNA049438047,0,0,0,0,0,0
ENSRNA049438121,0,0,0,0,0,0
ENSRNA049438129,0,0,0,0,0,0
ENSRNA049438143,0,0,0,0,0,0
ENSRNA049438169,0,0,0,0,0,0
ENSRNA049438176,0,0,0,0,0,0
ENSRNA049438190,0,0,0,0,0,0
ENSRNA049438201,0,0,0,0,0,0
ENSRNA049438216,0,0,0,0,0,0
ENSRNA049438222,0,0,0,0,0,0
ENSRNA049438232,0,0,0,0,0,0
ENSRNA049438239,0,0,2,0,0,0
ENSRNA049438267,0,0,0,0,0,0
ENSRNA049438296,0,0,0,0,0,0
ENSRNA049438307,0,0,0,0,0,4
ENSRNA049438316,0,0,0,0,0,0
ENSRNA049438327,0,0,0,0,0,0
ENSRNA049438338,0,0,0,0,0,0
ENSRNA049438353,0,0,0,0,0,0
ENSRNA049438360,0,0,0,0,0,0
ENSRNA049438370,2,1,0,0,0,0
ENSRNA049438387,0,0,0,0,0,0
ENSRNA049438419,1,3,0,0,0,0
ENSRNA049438423,0,0,0,0,0,0
ENSRNA049438431,0,0,0,0,0,0
ENSRNA049438434,0,0,0,0,0,0
ENSRNA049438451,2,0,0,0,0,0
ENSRNA049438457,0,2,1,0,25,0
ENSRNA049438466,0,3,0,0,0,0
ENSRNA049438474,0,0,0,0,0,0
ENSRNA049438481,0,0,0,0,0,0
ENSRNA049438499,0,0,0,0,0,0
ENSRNA049438519,0,0,0,0,0,0
ENSRNA049438528,0,0,0,0,0,0
ENSRNA049438543,0,0,0,0,0,0
ENSRNA049438549,0,0,0,0,0,0
ENSRNA049438551,0,2,0,0,0,1
ENSRNA049438555,0,0,0,0,0,0
ENSRNA049438568,0,0,0,0,0,0
ENSRNA049438597,0,0,0,0,0,0
ENSRNA049438602,1,3,0,0,0,0
ENSRNA049438626,0,0,0,0,0,0
ENSRNA049438663,0,0,0,0,0,0
ENSRNA049438675,0,0,0,0,0,0
ENSRNA049438681,0,0,0,0,0,0
ENSRNA049438693,0,0,0,0,0,0
ENSRNA049438701,0,0,0,0,0,0
ENSRNA049438706,0,0,0,0,0,0
ENSRNA049438723,0,0,0,0,0,0
ENSRNA049438730,0,0,0,0,0,0
ENSRNA049438735,0,0,0,0,0,0
ENSRNA049438746,0,0,0,0,0,0
ENSRNA049438786,0,0,0,0,0,0
ENSRNA049438796,0,0,0,0,0,0
ENSRNA049438812,0,0,0,0,0,0
ENSRNA049438830,0,0,0,0,0,0
ENSRNA049438840,0,0,0,0,0,0
ENSRNA049438850,0,0,0,0,0,0
ENSRNA049438858,0,0,0,0,0,0
ENSRNA049438885,0,0,0,0,0,0
ENSRNA049438891,0,0,0,0,0,0
ENSRNA049438930,0,0,0,0,0,0
ENSRNA049438936,0,0,0,0,0,0
ENSRNA049438964,0,0,0,0,0,0
ENSRNA049438976,0,0,0,0,0,0
ENSRNA049438998,0,0,0,0,0,0
ENSRNA049439013,0,0,0,0,0,0
ENSRNA049439056,0,0,0,0,0,0
ENSRNA049439061,0,0,0,0,0,0
ENSRNA049439072,0,0,0,0,0,0
ENSRNA049439089,0,0,0,0,0,0
ENSRNA049439097,0,0,0,0,0,0
ENSRNA049439107,0,0,0,0,0,0
ENSRNA049439136,0,0,0,0,0,0
ENSRNA049439147,0,0,0,0,0,0
ENSRNA049439169,0,0,0,0,0,0
ENSRNA049439180,0,0,0,0,0,0
ENSRNA049439194,0,0,0,0,0,0
ENSRNA049439209,0,0,0,0,0,0
ENSRNA049439241,0,0,0,0,0,0
ENSRNA049439257,0,0,0,0,0,0
ENSRNA049439265,0,0,0,0,0,0
ENSRNA049439275,0,0,0,0,0,0
ENSRNA049439342,0,0,0,0,0,0
ENSRNA049439373,0,0,0,0,0,0
ENSRNA049439395,0,0,0,0,0,0
ENSRNA049439400,0,0,0,0,0,0
ENSRNA049439411,0,0,0,0,0,0
ENSRNA049439433,0,0,0,0,0,0
ENSRNA049439451,0,0,0,0,0,0
ENSRNA049439459,0,0,0,0,0,0
ENSRNA049439513,0,0,0,0,0,0
ENSRNA049439552,0,0,0,0,0,0
ENSRNA049439580,0,0,0,0,0,0
ENSRNA049439591,0,0,0,0,0,0
ENSRNA049439603,0,0,0,0,0,0
ENSRNA049439610,0,0,0,0,0,0
ENSRNA049439670,0,0,0,0,0,0
ENSRNA049439684,0,0,0,0,0,0
ENSRNA049439719,0,0,0,0,0,0
ENSRNA049439746,0,0,0,0,0,0
ENSRNA049439754,0,0,0,0,0,2
ENSRNA049439761,0,0,0,0,0,0
ENSRNA049439768,0,0,0,0,0,0
ENSRNA049439823,0,0,0,0,0,0
ENSRNA049439834,0,0,0,0,0,0
ENSRNA049439844,0,0,0,0,0,0
ENSRNA049439851,0,0,0,0,0,0
ENSRNA049439867,0,0,0,0,0,0
ENSRNA049439916,0,0,0,0,0,0
